timestamp,preis_ct_kwh
2025-06-26 00:00:00,10.28
2025-06-26 01:00:00,9.86
2025-06-26 02:00:00,9.88
2025-06-26 03:00:00,10.29
2025-06-26 04:00:00,11.99
2025-06-26 05:00:00,12.09
2025-06-26 06:00:00,10.68
2025-06-26 07:00:00,9.64
2025-06-26 08:00:00,8.89
2025-06-26 09:00:00,7.79
2025-06-26 10:00:00,7.03
2025-06-26 11:00:00,5.92
2025-06-26 12:00:00,5.11
2025-06-26 13:00:00,4.9
2025-06-26 14:00:00,6.3
2025-06-26 15:00:00,7.03
2025-06-26 16:00:00,8.92
2025-06-26 17:00:00,9.39
2025-06-26 18:00:00,9.91
2025-06-26 19:00:00,10.0
2025-06-26 20:00:00,10.86
2025-06-26 21:00:00,9.72
